id,name,code,tag_ids/id,user_type_id/id
l10n_ch.ch_coa_6500,6500,6500,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_4801,4801,4801,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_2900,2900,2900,account_tag_ch_290,account.data_account_type_current_assets,
l10n_ch.ch_coa_8500,8500,8500,account_tag_ch_85,account.data_account_type_current_assets,
l10n_ch.ch_coa_4000,4000,4000,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_5000,5000,5000,account_tag_ch_5,account.data_account_type_current_assets,
l10n_ch.ch_coa_4009,4009,4009,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_4008,4008,4008,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_1400,1400,1400,account_tag_ch_140,account.data_account_type_current_assets,
l10n_ch.ch_coa_3600,3600,3600,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_1409,1409,1409,account_tag_ch_140,account.data_account_type_current_assets,
l10n_ch.ch_coa_4800,4800,4800,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_2100,2100,2100,account_tag_ch_210,account.data_account_type_current_assets,
l10n_ch.ch_coa_4080,4080,4080,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_1489,1489,1489,account_tag_ch_148,account.data_account_type_current_assets,
l10n_ch.ch_coa_1770,1770,1770,account_tag_ch_170,account.data_account_type_current_assets,
l10n_ch.ch_coa_2261,2261,2261,account_tag_ch_220,account.data_account_type_current_assets,
l10n_ch.ch_coa_1480,1480,1480,account_tag_ch_148,account.data_account_type_current_assets,
l10n_ch.ch_coa_1779,1779,1779,account_tag_ch_170,account.data_account_type_current_assets,
l10n_ch.ch_coa_1180,1180,1180,account_tag_ch_114,account.data_account_type_current_assets,
l10n_ch.ch_coa_6100,6100,6100,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_1060,1060,1060,account_tag_ch_106,account.data_account_type_current_assets,
l10n_ch.ch_coa_1109,1109,1109,account_tag_ch_110,account.data_account_type_current_assets,
l10n_ch.ch_coa_1069,1069,1069,account_tag_ch_106,account.data_account_type_current_assets,
l10n_ch.ch_coa_1100,1100,1100,account_tag_ch_110,account.data_account_type_current_assets,
l10n_ch.ch_coa_2970,2970,2970,account_tag_ch_290,account.data_account_type_current_assets,
l10n_ch.ch_coa_5700,5700,5700,account_tag_ch_5,account.data_account_type_current_assets,
l10n_ch.ch_coa_2979,2979,2979,account_tag_ch_297,account.data_account_type_current_assets,
l10n_ch.ch_coa_8000,8000,8000,account_tag_ch_80,account.data_account_type_current_assets,
l10n_ch.ch_coa_6105,6105,6105,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_1277,1277,1277,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_7010,7010,7010,account_tag_ch_7,account.data_account_type_current_assets,
l10n_ch.ch_coa_1579,1579,1579,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_1270,1270,1270,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_4092,4902,4902,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_1570,1570,1570,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_1279,1279,1279,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_2400,2400,2400,account_tag_ch_240,account.data_account_type_current_assets,
l10n_ch.ch_coa_2450,2450,2450,account_tag_ch_240,account.data_account_type_current_assets,
l10n_ch.ch_coa_2270,2270,2270,account_tag_ch_220,account.data_account_type_current_assets,
l10n_ch.ch_coa_1170,1170,1170,account_tag_ch_114,account.data_account_type_current_assets,
l10n_ch.ch_coa_1171,1171,1171,account_tag_ch_114,account.data_account_type_current_assets,
l10n_ch.ch_coa_2451,2451,2451,account_tag_ch_240,account.data_account_type_current_assets,
l10n_ch.ch_coa_2980,2980,2980,account_tag_ch_290,account.data_account_type_current_assets,
l10n_ch.ch_coa_1176,1176,1176,account_tag_ch_114,account.data_account_type_current_assets,
l10n_ch.ch_coa_2279,2279,2279,account_tag_ch_220,account.data_account_type_current_assets,
l10n_ch.ch_coa_1590,1590,1590,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_3200,3200,3200,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_1599,1599,1599,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_6400,6400,6400,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_2960,2960,2960,account_tag_ch_290,account.data_account_type_current_assets,
l10n_ch.ch_coa_1850,1850,1850,account_tag_ch_180,account.data_account_type_current_assets,
l10n_ch.ch_coa_2800,2800,2800,account_tag_ch_280,account.data_account_type_current_assets,
l10n_ch.ch_coa_1260,1260,1260,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_1267,1267,1267,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_1500,1500,1500,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_2160,2160,2160,account_tag_ch_210,account.data_account_type_current_assets,
l10n_ch.ch_coa_7000,7000,7000,account_tag_ch_7,account.data_account_type_current_assets,
l10n_ch.ch_coa_3700,3700,3700,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_2000,2000,2000,account_tag_ch_200,account.data_account_type_current_assets,
l10n_ch.ch_coa_1189,1189,1189,account_tag_ch_114,account.data_account_type_current_assets,
l10n_ch.ch_coa_5800,5800,5800,account_tag_ch_5,account.data_account_type_current_assets,
l10n_ch.ch_coa_6570,6570,6570,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_1289,1289,1289,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_1287,1287,1287,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_4500,4500,4500,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_1280,1280,1280,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_2950,2950,2950,account_tag_ch_290,account.data_account_type_current_assets,
l10n_ch.ch_coa_7510,7510,7510,account_tag_ch_7,account.data_account_type_current_assets,
l10n_ch.ch_coa_3940,3940,3940,account_tag_ch_39,account.data_account_type_current_assets,
l10n_ch.ch_coa_4200,4200,4200,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_1519,1519,1519,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_4072,4072,4072,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_4070,4070,4070,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_4071,4071,4071,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_6000,6000,6000,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_1510,1510,1510,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_2420,2420,2420,account_tag_ch_240,account.data_account_type_current_assets,
l10n_ch.ch_coa_1600,1600,1600,account_tag_ch_160,account.data_account_type_current_assets,
l10n_ch.ch_coa_1210,1210,1210,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_1190,1190,1190,account_tag_ch_114,account.data_account_type_current_assets,
l10n_ch.ch_coa_4086,4086,4086,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_1609,1609,1609,account_tag_ch_160,account.data_account_type_current_assets,
l10n_ch.ch_coa_1219,1219,1219,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_1218,1218,1218,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_2300,2300,2300,account_tag_ch_230,account.data_account_type_current_assets,
l10n_ch.ch_coa_2301,2301,2301,account_tag_ch_230,account.data_account_type_current_assets,
l10n_ch.ch_coa_6950,6950,6950,account_tag_ch_69,account.data_account_type_current_assets,
l10n_ch.ch_coa_4530,4530,4530,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_2940,2940,2940,account_tag_ch_290,account.data_account_type_current_assets,
l10n_ch.ch_coa_7500,7500,7500,account_tag_ch_7,account.data_account_type_current_assets,
l10n_ch.ch_coa_3400,3400,3400,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_2140,2140,2140,account_tag_ch_210,account.data_account_type_current_assets,
l10n_ch.ch_coa_1449,1449,1449,account_tag_ch_140,account.data_account_type_current_assets,
l10n_ch.ch_coa_1520,1520,1520,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_2430,2430,2430,account_tag_ch_240,account.data_account_type_current_assets,
l10n_ch.ch_coa_1440,1440,1440,account_tag_ch_140,account.data_account_type_current_assets,
l10n_ch.ch_coa_1441,1441,1441,account_tag_ch_140,account.data_account_type_current_assets,
l10n_ch.ch_coa_1529,1529,1529,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_1207,1207,1207,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_6300,6300,6300,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_1200,1200,1200,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_3009,3009,3009,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_2330,2330,2330,account_tag_ch_230,account.data_account_type_current_assets,
l10n_ch.ch_coa_1208,1208,1208,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_1209,1209,1209,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_3806,3806,3806,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_1140,1140,1140,account_tag_ch_114,account.data_account_type_current_assets,
l10n_ch.ch_coa_3804,3804,3804,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_3805,3805,3805,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_3802,3802,3802,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_3803,3803,3803,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_3800,3800,3800,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_3801,3801,3801,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_1149,1149,1149,account_tag_ch_114,account.data_account_type_current_assets,
l10n_ch.ch_coa_3710,3710,3710,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_4400,4400,4400,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_6260,6260,6260,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_6900,6900,6900,account_tag_ch_69,account.data_account_type_current_assets,
l10n_ch.ch_coa_1530,1530,1530,account_tag_ch_150,account.data_account_type_current_assets,
1_transfer_account_id,1090,1090,account_tag_ch_106,account.data_account_type_current_assets,
l10n_ch.ch_coa_2600,2600,2600,account_tag_ch_260,account.data_account_type_current_assets,
l10n_ch.ch_coa_1539,1539,1539,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_2030,2030,2030,account_tag_ch_200,account.data_account_type_current_assets,
l10n_ch.ch_coa_1709,1709,1709,account_tag_ch_170,account.data_account_type_current_assets,
l10n_ch.ch_coa_1230,1230,1230,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_3000,3000,3000,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_6700,6700,6700,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_1700,1700,1700,account_tag_ch_170,account.data_account_type_current_assets,
l10n_ch.ch_coa_4520,4520,4520,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_3807,3807,3807,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_4521,4521,4521,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_2206,2206,2206,account_tag_ch_220,account.data_account_type_current_assets,
l10n_ch.ch_coa_2201,2201,2201,account_tag_ch_220,account.data_account_type_current_assets,
l10n_ch.ch_coa_2200,2200,2200,account_tag_ch_220,account.data_account_type_current_assets,
l10n_ch.ch_coa_5900,5900,5900,account_tag_ch_5,account.data_account_type_current_assets,
l10n_ch.ch_coa_1220,1220,1220,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_1217,1217,1217,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_2208,2208,2208,account_tag_ch_220,account.data_account_type_current_assets,
l10n_ch.ch_coa_1540,1540,1540,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_2120,2120,2120,account_tag_ch_210,account.data_account_type_current_assets,
l10n_ch.ch_coa_6200,6200,6200,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_1549,1549,1549,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_1301,1301,1301,account_tag_ch_130,account.data_account_type_current_assets,
l10n_ch.ch_coa_1300,1300,1300,account_tag_ch_130,account.data_account_type_current_assets,
l10n_ch.ch_coa_1509,1509,1509,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_4900,4900,4900,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_4510,4510,4510,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_4901,4901,4901,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_3901,3901,3901,account_tag_ch_39,account.data_account_type_current_assets,
l10n_ch.ch_coa_3900,3900,3900,account_tag_ch_39,account.data_account_type_current_assets,
l10n_ch.ch_coa_8100,8100,8100,account_tag_ch_80,account.data_account_type_current_assets,
l10n_ch.ch_coa_8510,8510,8510,account_tag_ch_85,account.data_account_type_current_assets,
l10n_ch.ch_coa_4540,4540,4540,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_2210,2210,2210,account_tag_ch_220,account.data_account_type_current_assets,
l10n_ch.ch_coa_6800,6800,6800,account_tag_ch_68,account.data_account_type_current_assets,
l10n_ch.ch_coa_6600,6600,6600,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_2500,2500,2500,account_tag_ch_250,account.data_account_type_current_assets,
l10n_ch.ch_coa_1250,1250,1250,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_8900,8900,8900,account_tag_ch_89,account.data_account_type_current_assets,
l10n_ch.ch_coa_4906,4906,4906,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_1091,1091,1091,account_tag_ch_106,account.data_account_type_current_assets,
l10n_ch.ch_coa_4903,4903,4903,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_1550,1550,1550,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_1269,1269,1269,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_1099,1099,1099,account_tag_ch_106,account.data_account_type_current_assets,
l10n_ch.ch_coa_1199,1199,1199,account_tag_ch_114,account.data_account_type_current_assets,
l10n_ch.ch_coa_1559,1559,1559,account_tag_ch_150,account.data_account_type_current_assets,
